trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
71,False,"{'a': 0.25, 'e': 0.4898902730042049}",25,3,0.335920286672168,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
72,False,"{'a': 0.25, 'e': 0.48499137027416284}",35,6,-83.9948331297084,"{0: 20, 1: 4, 2: 3, 3: 1, 4: 1}",1
73,False,"{'a': 0.25, 'e': 0.4801414565714212}",35,0,-70.9676013847034,"{0: 26, 1: 1, 2: 6, 3: 2, 4: 0}",0
74,False,"{'a': 0.25, 'e': 0.47534004200570695}",20,0,-61.736847676336374,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 1}",0
75,False,"{'a': 0.25, 'e': 0.4705866415856499}",30,14,9.368313858787669,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
76,False,"{'a': 0.25, 'e': 0.46588077516979337}",20,0,-59.40448833465664,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
77,False,"{'a': 0.25, 'e': 0.46122196741809546}",30,14,-22.86993953487956,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
78,False,"{'a': 0.25, 'e': 0.4566097477439145}",25,0,-93.43170353298146,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
79,False,"{'a': 0.25, 'e': 0.45204365026647536}",25,0,-46.51500369826978,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
80,False,"{'a': 0.25, 'e': 0.4475232137638106}",20,0,-71.6500358452034,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
81,False,"{'a': 0.25, 'e': 0.4430479816261725}",30,16,13.152671266503624,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
82,False,"{'a': 0.25, 'e': 0.43861750180991077}",25,0,-139.69902431546384,"{0: 19, 1: 1, 2: 0, 3: 2, 4: 3}",0
83,False,"{'a': 0.25, 'e': 0.43423132679181164}",30,16,-44.820565161668355,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
84,False,"{'a': 0.25, 'e': 0.4298890135238935}",20,3,3.2351403050356717,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
85,False,"{'a': 0.25, 'e': 0.4255901233886546}",20,0,-27.350191740574576,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.25, 'e': 0.421334222154768}",25,0,-152.38883514003007,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",0
87,False,"{'a': 0.25, 'e': 0.41712087993322033}",30,13,-79.53257301282409,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 1}",1
88,False,"{'a': 0.25, 'e': 0.41294967113388814}",20,14,-2.2084481048143116,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.25, 'e': 0.40882017442254925}",35,6,-148.53999678992605,"{0: 20, 1: 3, 2: 2, 3: 1, 4: 3}",1
90,False,"{'a': 0.25, 'e': 0.4047319726783238}",20,0,3.3235109039073674,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
91,False,"{'a': 0.25, 'e': 0.40068465295154054}",35,16,-19.28073293778343,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
92,False,"{'a': 0.25, 'e': 0.3966778064220251}",20,8,18.138536440982204,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.25, 'e': 0.39271102835780486}",20,7,-29.400604812541264,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
94,False,"{'a': 0.25, 'e': 0.3887839180742268}",25,0,-58.19900956494745,"{0: 16, 1: 4, 2: 4, 3: 1, 4: 0}",0
95,False,"{'a': 0.25, 'e': 0.38489607889348454}",25,7,9.182967389298028,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 0}",1
96,False,"{'a': 0.25, 'e': 0.38104711810454966}",25,9,-20.31945308283419,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 0}",1
97,False,"{'a': 0.25, 'e': 0.37723664692350417}",25,13,-74.80372120080558,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
98,False,"{'a': 0.25, 'e': 0.37346428045426916}",20,5,-14.178136187228558,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
99,False,"{'a': 0.25, 'e': 0.36972963764972644}",20,8,-0.658293277510904,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
