trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
68,False,"{'a': 0.75, 'e': 0.99972542184389868}",20,0,-79.21750452319338,"{0: 12, 1: 5, 2: 2, 3: 0, 4: 1}",0
69,False,"{'a': 0.75, 'e': 0.99969655296997106}",20,0,-162.6009341651525,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
70,False,"{'a': 0.75, 'e': 0.99966464986953352}",25,0,-198.15523518619898,"{0: 10, 1: 3, 2: 9, 3: 1, 4: 2}",0
71,False,"{'a': 0.75, 'e': 0.99962939385937355}",20,0,-122.26059974985095,"{0: 9, 1: 4, 2: 5, 3: 1, 4: 1}",0
72,False,"{'a': 0.75, 'e': 0.99959043283501392}",25,0,-192.73588181009129,"{0: 11, 1: 5, 2: 5, 3: 2, 4: 2}",0
73,False,"{'a': 0.75, 'e': 0.9995473777767595}",20,0,-232.50614824363268,"{0: 9, 1: 2, 2: 3, 3: 2, 4: 4}",0
74,False,"{'a': 0.75, 'e': 0.9994997988929204}",25,0,-274.7380411354718,"{0: 10, 1: 2, 2: 7, 3: 2, 4: 4}",0
75,False,"{'a': 0.75, 'e': 0.9994472213630764}",30,0,-266.7455635834656,"{0: 11, 1: 4, 2: 10, 3: 2, 4: 3}",0
76,False,"{'a': 0.75, 'e': 0.99938912064056562}",25,0,-178.6781514667295,"{0: 12, 1: 0, 2: 11, 3: 0, 4: 2}",0
77,False,"{'a': 0.75, 'e': 0.99932491726936712}",35,0,-256.9203732887311,"{0: 16, 1: 7, 2: 7, 3: 2, 4: 3}",0
78,False,"{'a': 0.75, 'e': 0.99925397116616332}",30,0,-253.32733945210404,"{0: 11, 1: 4, 2: 10, 3: 3, 4: 2}",0
79,False,"{'a': 0.75, 'e': 0.99917557531360168}",35,0,-111.97948434283097,"{0: 21, 1: 6, 2: 7, 3: 1, 4: 0}",0
80,False,"{'a': 0.75, 'e': 0.9990889488055994}",25,0,-186.17221314681535,"{0: 10, 1: 3, 2: 10, 3: 0, 4: 2}",0
81,False,"{'a': 0.75, 'e': 0.9989932291799144}",20,0,-81.71268925164334,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
82,False,"{'a': 0.75, 'e': 0.99888746396713968}",30,0,-292.2347358711308,"{0: 11, 1: 4, 2: 8, 3: 4, 4: 3}",0
